CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800_Cold_ABW52x5_M2"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-07T15:45:02"

NUMBER_OF_FIELDS	46
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
1	   95.00	   95.00	   95.00	 0.07289	 0.07639	 0.07282	   33.22	   -0.74	   -4.18	    0.0485	    0.0517	    0.0539	    0.0553	    0.0645	    0.0784	    0.0852	    0.0893	    0.0928	    0.0951	    0.0957	    0.0957	    0.0953	    0.0894	    0.0821	    0.0831	    0.0843	    0.0723	    0.0615	    0.0643	    0.0711	    0.0736	    0.0718	    0.0700	    0.0718	    0.0758	    0.0818	    0.0912	    0.1014	    0.1072	    0.1067	    0.1032	    0.0979	    0.0970	    0.1076	    0.1299	
2	   70.00	   70.00	   70.00	 0.03544	 0.03733	 0.03539	   22.77	   -0.86	   -3.17	    0.0236	    0.0252	    0.0263	    0.0270	    0.0311	    0.0377	    0.0412	    0.0433	    0.0451	    0.0462	    0.0466	    0.0471	    0.0473	    0.0442	    0.0404	    0.0410	    0.0418	    0.0353	    0.0296	    0.0311	    0.0347	    0.0359	    0.0347	    0.0335	    0.0344	    0.0366	    0.0400	    0.0455	    0.0514	    0.0545	    0.0542	    0.0519	    0.0488	    0.0484	    0.0551	    0.0694	
3	   60.00	   60.00	   60.00	 0.02504	 0.02638	 0.02546	   18.53	   -0.78	   -3.19	    0.0174	    0.0185	    0.0193	    0.0198	    0.0227	    0.0272	    0.0295	    0.0311	    0.0326	    0.0335	    0.0333	    0.0336	    0.0335	    0.0314	    0.0286	    0.0291	    0.0296	    0.0249	    0.0208	    0.0219	    0.0245	    0.0253	    0.0243	    0.0234	    0.0240	    0.0257	    0.0282	    0.0322	    0.0369	    0.0391	    0.0387	    0.0372	    0.0350	    0.0346	    0.0403	    0.0518	
4	  150.00	  150.00	  150.00	 0.21321	 0.22310	 0.20240	   54.35	   -0.90	   -3.89	    0.1384	    0.1475	    0.1539	    0.1579	    0.1829	    0.2219	    0.2390	    0.2477	    0.2558	    0.2625	    0.2645	    0.2632	    0.2611	    0.2493	    0.2351	    0.2361	    0.2380	    0.2152	    0.1934	    0.1986	    0.2119	    0.2173	    0.2145	    0.2117	    0.2154	    0.2227	    0.2336	    0.2498	    0.2669	    0.2760	    0.2761	    0.2713	    0.2638	    0.2613	    0.2767	    0.3094	
5	  220.00	  220.00	  220.00	 0.56828	 0.59530	 0.51623	   81.58	   -1.40	   -2.81	    0.3642	    0.3883	    0.4051	    0.4157	    0.4809	    0.5786	    0.6156	    0.6312	    0.6479	    0.6660	    0.6710	    0.6568	    0.6427	    0.6283	    0.6151	    0.6120	    0.6098	    0.5893	    0.5677	    0.5689	    0.5761	    0.5797	    0.5780	    0.5772	    0.5814	    0.5886	    0.5997	    0.6150	    0.6306	    0.6400	    0.6432	    0.6429	    0.6416	    0.6422	    0.6521	    0.6716	
6	  120.00	  120.00	  120.00	 0.12609	 0.13197	 0.12305	   43.06	   -0.77	   -4.23	    0.0834	    0.0889	    0.0928	    0.0952	    0.1102	    0.1338	    0.1447	    0.1506	    0.1560	    0.1603	    0.1611	    0.1609	    0.1603	    0.1514	    0.1405	    0.1417	    0.1433	    0.1258	    0.1096	    0.1138	    0.1240	    0.1280	    0.1257	    0.1233	    0.1259	    0.1316	    0.1401	    0.1531	    0.1670	    0.1745	    0.1739	    0.1700	    0.1630	    0.1607	    0.1744	    0.2022	
