CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Darkest_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:25:09"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
1	A1	   95.00	   95.00	   95.00	 0.10219	 0.09468	 0.05568	   36.87	    8.74	    9.73	
2	A2	   70.00	   70.00	   70.00	 0.05129	 0.04653	 0.02629	   25.72	    8.21	    8.53	
3	A3	   60.00	   60.00	   60.00	 0.03741	 0.03371	 0.01907	   21.47	    7.75	    7.64	
4	A4	  150.00	  150.00	  150.00	 0.27161	 0.26370	 0.17222	   58.39	    7.13	    9.62	
5	A5	  220.00	  220.00	  220.00	 0.61435	 0.62885	 0.49349	   83.38	    1.88	    2.85	
6	A6	  120.00	  120.00	  120.00	 0.17089	 0.16136	 0.10040	   47.15	    8.64	    9.78	
7	A7	  210.00	  210.00	  210.00	 0.55691	 0.56634	 0.43133	   79.97	    2.72	    4.37	
8	A8	  110.00	  110.00	  110.00	 0.14151	 0.13258	 0.08086	   43.15	    8.79	    9.78	
9	A9	  135.00	  135.00	  135.00	 0.21744	 0.20833	 0.13276	   52.77	    7.94	    9.79	
10	A10	  125.00	  125.00	  125.00	 0.18444	 0.17504	 0.10966	   48.89	    8.40	    9.82	
11	A11	   40.00	   40.00	   40.00	 0.01865	 0.01682	 0.00991	   13.72	    6.11	    5.45	
12	A12	  110.00	  110.00	  110.00	 0.14161	 0.13265	 0.08096	   43.16	    8.80	    9.76	
13	A13	   25.00	   25.00	   25.00	 0.01053	 0.00967	 0.00628	    8.72	    4.40	    3.17	
14	B1	   45.00	   45.00	   45.00	 0.02216	 0.02001	 0.01158	   15.49	    6.42	    6.05	
15	B2	  135.00	  135.00	  135.00	 0.21813	 0.20939	 0.13280	   52.88	    7.75	    9.98	
16	B3	  205.00	  205.00	  205.00	 0.53137	 0.53907	 0.40351	   78.41	    3.00	    5.21	
17	B4	  230.00	  230.00	  230.00	 0.66999	 0.69060	 0.55581	   86.53	    0.90	    1.47	
18	B5	  200.00	  200.00	  200.00	 0.50311	 0.50839	 0.37459	   76.58	    3.47	    5.92	
19	B6	   35.00	   35.00	   35.00	 0.01599	 0.01448	 0.00864	   12.27	    5.66	    5.00	
20	B7	  235.00	  235.00	  235.00	 0.70266	 0.72746	 0.59369	   88.33	    0.26	    0.66	
21	B8	   65.00	   65.00	   65.00	 0.04397	 0.03964	 0.02263	   23.55	    8.16	    7.88	
22	B9	   15.00	   15.00	   15.00	 0.00598	 0.00572	 0.00405	    5.16	    1.90	    1.27	
23	B10	   50.00	   50.00	   50.00	 0.02672	 0.02406	 0.01392	   17.49	    6.95	    6.44	
24	B11	   35.00	   35.00	   35.00	 0.01550	 0.01402	 0.00848	   11.97	    5.63	    4.74	
25	B12	   30.00	   30.00	   30.00	 0.01296	 0.01179	 0.00734	   10.40	    5.08	    4.09	
