CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Lighter_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:19:55"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
1	A1	   95.00	   95.00	   95.00	 0.17526	 0.16571	 0.10321	   47.71	    8.60	    9.83	
2	A2	   70.00	   70.00	   70.00	 0.10539	 0.09771	 0.05782	   37.43	    8.77	    9.67	
3	A3	   60.00	   60.00	   60.00	 0.08132	 0.07474	 0.04352	   32.86	    8.65	    9.25	
4	A4	  150.00	  150.00	  150.00	 0.35893	 0.35349	 0.24024	   66.02	    6.15	    8.86	
5	A5	  220.00	  220.00	  220.00	 0.65693	 0.67591	 0.54329	   85.80	    1.17	    1.53	
6	A6	  120.00	  120.00	  120.00	 0.25095	 0.24239	 0.15696	   56.33	    7.48	    9.68	
7	A7	  210.00	  210.00	  210.00	 0.61189	 0.62636	 0.49253	   83.25	    1.87	    2.73	
8	A8	  110.00	  110.00	  110.00	 0.21738	 0.20825	 0.13246	   52.76	    7.94	    9.85	
9	A9	  135.00	  135.00	  135.00	 0.29954	 0.29235	 0.19437	   60.99	    6.79	    9.22	
10	A10	  125.00	  125.00	  125.00	 0.26471	 0.25653	 0.16785	   57.71	    7.26	    9.46	
11	A11	   40.00	   40.00	   40.00	 0.04107	 0.03695	 0.02119	   22.64	    8.08	    7.61	
12	A12	  110.00	  110.00	  110.00	 0.21605	 0.20700	 0.13202	   52.62	    7.91	    9.74	
13	A13	   25.00	   25.00	   25.00	 0.02130	 0.01926	 0.01133	   15.09	    6.26	    5.71	
14	B1	   45.00	   45.00	   45.00	 0.04960	 0.04498	 0.02561	   25.25	    8.14	    8.27	
15	B2	  135.00	  135.00	  135.00	 0.30472	 0.29768	 0.19754	   61.45	    6.72	    9.36	
16	B3	  205.00	  205.00	  205.00	 0.59347	 0.60602	 0.47062	   82.16	    2.19	    3.39	
17	B4	  230.00	  230.00	  230.00	 0.70502	 0.73003	 0.59984	   88.45	    0.24	    0.26	
18	B5	  200.00	  200.00	  200.00	 0.56991	 0.58032	 0.44487	   80.76	    2.56	    4.05	
19	B6	   35.00	   35.00	   35.00	 0.03428	 0.03083	 0.01754	   20.37	    7.62	    7.31	
20	B7	  235.00	  235.00	  235.00	 0.72507	 0.75293	 0.62099	   89.53	   -0.19	    0.03	
21	B8	   65.00	   65.00	   65.00	 0.09275	 0.08563	 0.05054	   35.13	    8.71	    9.32	
22	B9	   15.00	   15.00	   15.00	 0.01284	 0.01169	 0.00722	   10.32	    5.04	    4.18	
23	B10	   50.00	   50.00	   50.00	 0.05869	 0.05340	 0.03055	   27.68	    8.39	    8.66	
24	B11	   35.00	   35.00	   35.00	 0.03339	 0.03006	 0.01726	   20.07	    7.51	    7.08	
25	B12	   30.00	   30.00	   30.00	 0.02701	 0.02433	 0.01403	   17.61	    6.98	    6.53	
