CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800_Sepia_ABW52x5"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-07T15:53:03"

NUMBER_OF_FIELDS	46
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
1	   95.00	   95.00	   95.00	 0.10720	 0.10520	 0.06986	   38.76	    4.39	    6.60	    0.0469	    0.0500	    0.0522	    0.0536	    0.0606	    0.0721	    0.0780	    0.0823	    0.0867	    0.0909	    0.0957	    0.1016	    0.1062	    0.1025	    0.0963	    0.0995	    0.1038	    0.0937	    0.0857	    0.0957	    0.1108	    0.1188	    0.1200	    0.1201	    0.1231	    0.1281	    0.1351	    0.1446	    0.1542	    0.1598	    0.1613	    0.1600	    0.1574	    0.1583	    0.1683	    0.1861	
2	   70.00	   70.00	   70.00	 0.05745	 0.05596	 0.03589	   28.37	    4.03	    6.17	    0.0244	    0.0260	    0.0271	    0.0278	    0.0310	    0.0367	    0.0397	    0.0421	    0.0445	    0.0468	    0.0493	    0.0529	    0.0558	    0.0539	    0.0504	    0.0525	    0.0551	    0.0492	    0.0447	    0.0507	    0.0597	    0.0643	    0.0648	    0.0646	    0.0663	    0.0693	    0.0737	    0.0799	    0.0862	    0.0896	    0.0901	    0.0889	    0.0867	    0.0875	    0.0953	    0.1081	
3	   60.00	   60.00	   60.00	 0.04267	 0.04125	 0.02649	   24.08	    4.09	    5.55	    0.0187	    0.0199	    0.0208	    0.0213	    0.0235	    0.0272	    0.0294	    0.0311	    0.0328	    0.0346	    0.0358	    0.0388	    0.0409	    0.0393	    0.0368	    0.0384	    0.0404	    0.0359	    0.0325	    0.0372	    0.0443	    0.0478	    0.0482	    0.0479	    0.0493	    0.0518	    0.0554	    0.0605	    0.0655	    0.0685	    0.0685	    0.0676	    0.0661	    0.0671	    0.0741	    0.0855	
4	  150.00	  150.00	  150.00	 0.26276	 0.26508	 0.18479	   58.52	    2.97	    7.03	    0.1261	    0.1345	    0.1403	    0.1440	    0.1649	    0.1965	    0.2106	    0.2195	    0.2286	    0.2383	    0.2489	    0.2610	    0.2700	    0.2637	    0.2530	    0.2575	    0.2641	    0.2468	    0.2325	    0.2490	    0.2732	    0.2860	    0.2883	    0.2889	    0.2935	    0.3008	    0.3109	    0.3245	    0.3380	    0.3460	    0.3480	    0.3471	    0.3444	    0.3454	    0.3588	    0.3809	
5	  220.00	  220.00	  220.00	 0.60501	 0.62634	 0.50517	   83.25	    0.25	    1.30	    0.3591	    0.3829	    0.3995	    0.4099	    0.4721	    0.5647	    0.5988	    0.6135	    0.6305	    0.6499	    0.6592	    0.6528	    0.6464	    0.6366	    0.6268	    0.6266	    0.6282	    0.6139	    0.6004	    0.6095	    0.6226	    0.6300	    0.6317	    0.6333	    0.6379	    0.6445	    0.6539	    0.6657	    0.6774	    0.6856	    0.6899	    0.6921	    0.6949	    0.6972	    0.7038	    0.7161	
6	  120.00	  120.00	  120.00	 0.16810	 0.16708	 0.11324	   47.89	    3.93	    7.00	    0.0757	    0.0807	    0.0842	    0.0864	    0.0993	    0.1189	    0.1280	    0.1340	    0.1401	    0.1466	    0.1535	    0.1625	    0.1693	    0.1645	    0.1560	    0.1600	    0.1655	    0.1519	    0.1408	    0.1541	    0.1743	    0.1849	    0.1867	    0.1871	    0.1909	    0.1973	    0.2058	    0.2175	    0.2293	    0.2362	    0.2378	    0.2362	    0.2338	    0.2347	    0.2456	    0.2661	
