CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"Neutrals52x5.txt 6x6 Cnt260 DPI600 09-26-19  9-18PM 9800ABW_52x52"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2019-10-06T11:05:14"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
1	A1	   95.00   95.00   95.00   0.11884 0.11615 0.08333   40.60000 4.88000 4.45000   0.08140 0.08680 0.09060 0.09290 0.09490 0.09620 0.09720 0.09920 0.10140 0.10330 0.10550 0.10900 0.11150 0.10930 0.10570 0.10750 0.11030 0.10570 0.10320 0.11180 0.12280 0.12920 0.13170 0.13320 0.13570 0.13860 0.14250 0.14700 0.15120 0.15330 0.15440 0.15410 0.15430 0.15570 0.16080 0.16900
2	A2	   70.00   70.00   70.00   0.08620 0.08512 0.06321   35.03000 3.63000 3.04000   0.06280 0.06690 0.06980 0.07170 0.07300 0.07370 0.07430 0.07550 0.07710 0.07790 0.07940 0.08170 0.08280 0.08110 0.07890 0.08000 0.08160 0.07870 0.07710 0.08260 0.08920 0.09300 0.09440 0.09520 0.09660 0.09840 0.10080 0.10360 0.10620 0.10770 0.10790 0.10760 0.10820 0.10970 0.11320 0.11900
3	A3	   60.00   60.00   60.00   0.07489 0.07425 0.05605   32.75000 3.18000 2.46000   0.05710 0.06090 0.06350 0.06520 0.06550 0.06570 0.06610 0.06700 0.06810 0.06910 0.07010 0.07160 0.07260 0.07110 0.06930 0.07010 0.07140 0.06900 0.06790 0.07230 0.07760 0.08050 0.08150 0.08210 0.08320 0.08470 0.08660 0.08900 0.09120 0.09240 0.09250 0.09210 0.09240 0.09440 0.09760 0.10270
4	A4	  150.00  150.00  150.00   0.23326 0.22768 0.15925   54.83000 6.23000 6.55000   0.15340 0.16350 0.17060 0.17510 0.17840 0.18250 0.18550 0.18960 0.19390 0.19690 0.20160 0.21000 0.21750 0.21400 0.20700 0.21040 0.21570 0.20670 0.20170 0.21860 0.24060 0.25400 0.25980 0.26390 0.26900 0.27510 0.28220 0.29030 0.29760 0.30170 0.30300 0.30260 0.30330 0.30590 0.31440 0.32640
5	A5	  220.00  220.00  220.00   0.55037 0.55534 0.42926   79.35000 3.78000 3.55000   0.40330 0.42990 0.44860 0.46030 0.47720 0.49640 0.50710 0.51660 0.52670 0.53380 0.53970 0.54770 0.55360 0.54780 0.53820 0.53850 0.54190 0.53110 0.52350 0.53980 0.56040 0.57520 0.58490 0.59460 0.60560 0.61660 0.62850 0.64040 0.64960 0.65370 0.65470 0.65400 0.65610 0.65980 0.66620 0.67780
6	A6	  120.00  120.00  120.00   0.16225 0.15808 0.11077   46.72000 5.69000 5.74000   0.10640 0.11350 0.11840 0.12150 0.12450 0.12710 0.12900 0.13180 0.13480 0.13720 0.14020 0.14630 0.15090 0.14820 0.14320 0.14570 0.14970 0.14310 0.13940 0.15170 0.16760 0.17700 0.18090 0.18340 0.18700 0.19130 0.19660 0.20290 0.20870 0.21170 0.21280 0.21240 0.21280 0.21540 0.22130 0.23090
7	A7	  210.00  210.00  210.00   0.48724 0.48887 0.36828   75.38000 4.37000 4.71000   0.34550 0.36830 0.38430 0.39430 0.40850 0.42440 0.43380 0.44210 0.45080 0.45750 0.46410 0.47430 0.48270 0.47790 0.46830 0.47010 0.47480 0.46330 0.45570 0.47430 0.49790 0.51370 0.52300 0.53170 0.54180 0.55220 0.56370 0.57550 0.58510 0.58970 0.59070 0.59010 0.59110 0.59470 0.60290 0.61460
8	A8	  110.00  110.00  110.00   0.14244 0.13874 0.09791   44.05000 5.47000 5.26000   0.09520 0.10150 0.10590 0.10870 0.11070 0.11250 0.11410 0.11650 0.11920 0.12120 0.12390 0.12880 0.13280 0.13000 0.12560 0.12790 0.13140 0.12550 0.12230 0.13310 0.14710 0.15530 0.15870 0.16090 0.16390 0.16760 0.17220 0.17770 0.18300 0.18570 0.18660 0.18660 0.18690 0.18910 0.19510 0.20380
9	A9	  135.00  135.00  135.00   0.19436 0.18950 0.13196   50.63000 5.97000 6.32000   0.12600 0.13430 0.14010 0.14380 0.14750 0.15120 0.15350 0.15680 0.16040 0.16350 0.16760 0.17470 0.18080 0.17770 0.17180 0.17480 0.17940 0.17170 0.16730 0.18180 0.20070 0.21200 0.21690 0.22000 0.22440 0.22950 0.23570 0.24290 0.24940 0.25290 0.25410 0.25400 0.25460 0.25760 0.26460 0.27470
10	B1	    125.00  125.00  125.00   0.17027 0.16599 0.11551   47.75000 5.73000 6.07000   0.11140 0.11880 0.12390 0.12720 0.13000 0.13220 0.13420 0.13710 0.14040 0.14330 0.14670 0.15290 0.15820 0.15550 0.15030 0.15300 0.15710 0.15040 0.14660 0.15930 0.17590 0.18580 0.18990 0.19270 0.19650 0.20090 0.20640 0.21300 0.21900 0.22220 0.22330 0.22300 0.22350 0.22590 0.23180 0.24200
