CGATS.17
NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
1	 95.00	 95.00	 95.00
2	 70.00	 70.00	 70.00
3	 60.00	 60.00	 60.00
4	150.00	150.00	150.00
5	220.00	220.00	220.00
6	120.00	120.00	120.00
7	210.00	210.00	210.00
8	110.00	110.00	110.00
9	135.00	135.00	135.00
10	125.00	125.00	125.00
11	 40.00	 40.00	 40.00
12	110.00	110.00	110.00
13	 25.00	 25.00	 25.00
14	 45.00	 45.00	 45.00
15	135.00	135.00	135.00
16	205.00	205.00	205.00
17	230.00	230.00	230.00
18	200.00	200.00	200.00
19	 35.00	 35.00	 35.00
20	235.00	235.00	235.00
21	 65.00	 65.00	 65.00
22	 15.00	 15.00	 15.00
23	 50.00	 50.00	 50.00
24	 35.00	 35.00	 35.00
25	 30.00	 30.00	 30.00
26	175.00	175.00	175.00
27	240.00	240.00	240.00
28	 35.00	 35.00	 35.00
29	 45.00	 45.00	 45.00
30	185.00	185.00	185.00
31	 55.00	 55.00	 55.00
32	210.00	210.00	210.00
33	 55.00	 55.00	 55.00
34	210.00	210.00	210.00
35	125.00	125.00	125.00
36	210.00	210.00	210.00
37	145.00	145.00	145.00
38	195.00	195.00	195.00
39	160.00	160.00	160.00
40	125.00	125.00	125.00
41	255.00	255.00	255.00
42	130.00	130.00	130.00
43	205.00	205.00	205.00
44	235.00	235.00	235.00
45	 50.00	 50.00	 50.00
46	160.00	160.00	160.00
47	120.00	120.00	120.00
48	245.00	245.00	245.00
49	 55.00	 55.00	 55.00
50	190.00	190.00	190.00
51	 90.00	 90.00	 90.00
52	 20.00	 20.00	 20.00
53	175.00	175.00	175.00
54	205.00	205.00	205.00
55	195.00	195.00	195.00
56	215.00	215.00	215.00
57	235.00	235.00	235.00
58	200.00	200.00	200.00
59	140.00	140.00	140.00
60	 75.00	 75.00	 75.00
61	230.00	230.00	230.00
62	180.00	180.00	180.00
63	 40.00	 40.00	 40.00
64	 95.00	 95.00	 95.00
65	 25.00	 25.00	 25.00
66	255.00	255.00	255.00
67	230.00	230.00	230.00
68	 80.00	 80.00	 80.00
69	 75.00	 75.00	 75.00
70	105.00	105.00	105.00
71	  5.00	  5.00	  5.00
72	165.00	165.00	165.00
73	130.00	130.00	130.00
74	120.00	120.00	120.00
75	170.00	170.00	170.00
76	140.00	140.00	140.00
77	 20.00	 20.00	 20.00
78	 40.00	 40.00	 40.00
79	185.00	185.00	185.00
80	150.00	150.00	150.00
81	 80.00	 80.00	 80.00
82	 65.00	 65.00	 65.00
83	185.00	185.00	185.00
84	110.00	110.00	110.00
85	250.00	250.00	250.00
86	145.00	145.00	145.00
87	  0.00	  0.00	  0.00
88	 75.00	 75.00	 75.00
89	 45.00	 45.00	 45.00
90	160.00	160.00	160.00
91	130.00	130.00	130.00
92	160.00	160.00	160.00
93	170.00	170.00	170.00
94	120.00	120.00	120.00
95	115.00	115.00	115.00
96	  0.00	  0.00	  0.00
97	110.00	110.00	110.00
98	 50.00	 50.00	 50.00
99	135.00	135.00	135.00
100	225.00	225.00	225.00
101	 10.00	 10.00	 10.00
102	100.00	100.00	100.00
103	125.00	125.00	125.00
104	155.00	155.00	155.00
105	210.00	210.00	210.00
106	230.00	230.00	230.00
107	100.00	100.00	100.00
108	 30.00	 30.00	 30.00
109	165.00	165.00	165.00
110	180.00	180.00	180.00
111	135.00	135.00	135.00
112	 70.00	 70.00	 70.00
113	 50.00	 50.00	 50.00
114	150.00	150.00	150.00
